"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"SD01";"SD02_01";"SD19";"SD20";"SD21";"SD10";"SD10_09";"SD22";"SD23";"SD24";"SD24_01";"SD24_02";"SD24_03";"SD24_04";"SD24_05";"SD24_06";"SD24_07";"SD25";"SD25_01";"SD25_02";"SD25_03";"SD25_04";"SD25_05";"SD25_06";"SD25_07";"SD26";"SD27";"SD29";"SD30";"SD31";"SD32";"WI07";"WI07_01";"FA01_01";"FA01_02";"FA01_03";"FA01_04";"FA01_05";"FA01_06";"FA01_07";"FA01_08";"FA01_09";"FA01_10";"FA01_11";"FA01_12";"FA01_13";"FA01_14";"FA01_15";"FA01_16";"FA01_17";"FA01_18";"FA01_19";"FA01_20";"FA01_21";"FA01_22";"FA01_23";"FA01_24";"FA01_25";"FA01_26";"FA01_27";"FA01_28";"FA01_29";"FA01_30";"FA01_31";"FA01_32";"FA01_33";"FA01_34";"FA01_35";"FA01_36";"FA01_37";"FA01_38";"FA01_39";"FA01_40";"FA01_41";"FA01_42";"FA01_43";"FA01_44";"FA01_45";"FA01_46";"FA01_47";"FA01_48";"FA01_49";"FA01_50";"FA01_51";"FA01_52";"FA01_53";"FA01_54";"FA01_55";"FA01_56";"FA01_57";"FA01_58";"PA02_01";"PA02_02";"PA02_03";"PA02_04";"PA02_05";"PA02_06";"PA02_07";"PA02_08";"PA02_09";"PA02_10";"PA02_11";"PA02_12";"PA02_13";"PA02_14";"PA02_15";"PA02_16";"PA02_17";"PA02_18";"PA02_19";"PA02_20";"PA03_01";"PA03_02";"PA03_03";"PA03_04";"PA03_05";"PA03_06";"PA03_07";"PA03_08";"PA03_09";"PA03_10";"PA03_11";"PA03_12";"PA03_13";"PA03_14";"PA03_15";"PA03_16";"PA03_17";"PA03_18";"PA03_19";"PA03_20";"EX01";"EX02";"PE02_01";"PE02_02";"PE02_03";"PE02_04";"PE02_05";"PE02_06";"PE02_07";"PE02_08";"PE02_09";"PE02_10";"PE02_11";"PE02_12";"PE02_13";"PE02_14";"PE02_15";"PE02_16";"PE02_17";"PE02_18";"PE02_19";"PE02_20";"PE02_21";"PE02_22";"PE02_23";"PE02_24";"PE02_25";"PE02_26";"PE02_27";"PE02_28";"PE02_29";"PE02_30";"PE02_31";"PE02_32";"PE02_33";"PE02_34";"PE02_35";"PE02_36";"PE02_37";"PE02_38";"PE02_39";"PE02_40";"PE02_41";"PE02_42";"PE02_43";"PE02_44";"PE02_45";"PE02_46";"PE02_47";"HA02_01";"HA02_02";"HA02_03";"HA02_04";"HA02_05";"HA02_06";"HA02_07";"HA02_08";"HA02_09";"HA02_10";"HA02_11";"HA02_12";"HA02_13";"HA02_14";"HA02_15";"HA02_16";"HA02_17";"HA02_18";"HA04_01";"HA04_02";"HA04_03";"HA04_04";"HA04_05";"HA04_06";"HA04_07";"HA04_08";"HA04_09";"HA04_10";"HA04_11";"HA04_12";"HA04_13";"HA04_14";"HA04_15";"HA04_16";"HA04_17";"HA04_18";"HA06_01";"HA06_02";"HA06_03";"HA06_04";"HA06_05";"HA06_06";"HA06_07";"HA06_08";"HA06_09";"HA06_10";"HA06_11";"HA06_12";"HA06_13";"HA06_14";"HA06_15";"HA06_16";"HA06_17";"HA06_18";"HA08_01";"HA08_02";"HA08_03";"HA08_04";"HA08_05";"HA08_06";"HA08_07";"HA08_08";"HA08_09";"HA08_10";"HA08_11";"HA08_12";"HA08_13";"HA08_14";"HA08_15";"HA08_16";"HA08_17";"HA08_18";"HA19_01";"HA19_02";"HA19_03";"HA19_04";"HA19_05";"HA19_06";"HA19_07";"HA19_08";"HA19_09";"HA19_10";"HA19_11";"HA19_12";"HA19_13";"HA19_14";"HA19_15";"HA19_16";"HA19_17";"HA19_18";"HA45_01";"HA45_02";"HA45_03";"HA45_04";"HA45_05";"HA45_06";"HA45_07";"HA45_08";"HA45_09";"HA45_10";"HA45_11";"HA45_12";"HA45_13";"HA45_14";"HA45_15";"HA45_16";"HA45_17";"HA45_18";"HA46_01";"HA46_02";"HA46_03";"HA46_04";"HA46_05";"HA46_06";"HA46_07";"HA46_08";"HA46_09";"HA46_10";"HA46_11";"HA46_12";"HA46_13";"HA46_14";"HA46_15";"HA46_16";"HA46_17";"HA46_18";"HA47_01";"HA47_02";"HA47_03";"HA47_04";"HA47_05";"HA47_06";"HA47_07";"HA47_08";"HA47_09";"HA47_10";"HA47_11";"HA47_12";"HA47_13";"HA47_14";"HA47_15";"HA47_16";"HA47_17";"HA47_18";"HA48_01";"HA48_02";"HA48_03";"HA48_04";"HA48_05";"HA48_06";"HA48_07";"HA48_08";"HA48_09";"HA48_10";"HA48_11";"HA48_12";"HA48_13";"HA48_14";"HA48_15";"HA48_16";"HA48_17";"HA48_18";"HA61_01";"HA61_02";"HA61_03";"HA61_04";"HA61_05";"HA61_06";"HA61_07";"HA61_08";"HA61_09";"HA61_10";"HA61_11";"HA61_12";"HA61_13";"HA61_14";"HA61_15";"HA61_16";"HA61_17";"HA61_18";"HA62_01";"HA62_02";"HA62_03";"HA62_04";"HA62_05";"HA62_06";"HA62_07";"HA62_08";"HA62_09";"HA62_10";"HA62_11";"HA62_12";"HA62_13";"HA62_14";"HA62_15";"HA62_16";"HA62_17";"HA62_18";"HA63_01";"HA63_02";"HA63_03";"HA63_04";"HA63_05";"HA63_06";"HA63_07";"HA63_08";"HA63_09";"HA63_10";"HA63_11";"HA63_12";"HA63_13";"HA63_14";"HA63_15";"HA63_16";"HA63_17";"HA63_18";"HA64_01";"HA64_02";"HA64_03";"HA64_04";"HA64_05";"HA64_06";"HA64_07";"HA64_08";"HA64_09";"HA64_10";"HA64_11";"HA64_12";"HA64_13";"HA64_14";"HA64_15";"HA64_16";"HA64_17";"HA64_18";"HA65_01";"HA65_02";"HA65_03";"HA65_04";"HA65_05";"HA65_06";"HA65_07";"HA65_08";"HA65_09";"HA65_10";"HA65_11";"HA65_12";"HA65_13";"HA65_14";"HA65_15";"HA65_16";"HA65_17";"HA65_18";"HA66_01";"HA66_02";"HA66_03";"HA66_04";"HA66_05";"HA66_06";"HA66_07";"HA66_08";"HA66_09";"HA66_10";"HA66_11";"HA66_12";"HA66_13";"HA66_14";"HA66_15";"HA66_16";"HA66_17";"HA66_18";"HA67_01";"HA67_02";"HA67_03";"HA67_04";"HA67_05";"HA67_06";"HA67_07";"HA67_08";"HA67_09";"HA67_10";"HA67_11";"HA67_12";"HA67_13";"HA67_14";"HA67_15";"HA67_16";"HA67_17";"HA67_18";"HA68_01";"HA68_02";"HA68_03";"HA68_04";"HA68_05";"HA68_06";"HA68_07";"HA68_08";"HA68_09";"HA68_10";"HA68_11";"HA68_12";"HA68_13";"HA68_14";"HA68_15";"HA68_16";"HA68_17";"HA68_18";"HA20_01";"HA20_02";"HA20_03";"HA20_04";"HA20_05";"HA20_06";"HA20_07";"HA20_08";"HA20_09";"HA20_10";"HA20_11";"HA20_12";"HA20_13";"HA20_14";"HA20_15";"HA20_16";"HA20_17";"HA20_18";"HA21_01";"HA21_02";"HA21_03";"HA21_04";"HA21_05";"HA21_06";"HA21_07";"HA21_08";"HA21_09";"HA21_10";"HA21_11";"HA21_12";"HA21_13";"HA21_14";"HA21_15";"HA21_16";"HA21_17";"HA21_18";"ZG01_CP";"ZG01";"ZG04";"ZG05";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"TIME013";"TIME014";"TIME015";"TIME016";"TIME017";"TIME018";"TIME019";"TIME020";"TIME021";"TIME022";"TIME023";"TIME024";"TIME025";"TIME026";"TIME027";"TIME028";"TIME029";"TIME030";"TIME031";"TIME032";"TIME033";"TIME034";"TIME035";"TIME036";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
928;;;"wi01";"interview";2019-07-12 14:21:12;2;29;2;1;5;4;;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;"DA1A1CDBFR";30;29;131;76;8;2;9;5;6;;;3;;13;4;;11;;16;;;;;;;;;;;;;;;;;;343;;2019-07-12 14:26:55;1;0;19;19;0;0;1,17;15
931;"DA1A1CDBFR";;"A2";"interview";2019-07-12 14:27:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;3;3;3;4;5;3;4;2;3;4;2;4;3;4;4;2;4;2;3;4;5;2;3;1;4;2;2;3;3;4;3;4;3;3;4;2;3;3;3;4;2;4;4;4;1;3;2;4;4;2;2;4;5;4;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;5;3;5;3;3;3;4;3;5;3;4;2;2;2;3;5;4;2;1;1;1;3;5;3;5;5;3;4;2;3;4;1;3;2;4;4;5;3;5;3;2;4;5;4;5;3;3;1;3;2;3;5;3;3;1;4;3;1;1;3;5;5;3;3;2;2;3;3;3;3;4;4;4;4;2;2;2;2;5;5;4;2;4;2;5;4;4;5;2;2;2;4;3;1;1;4;3;4;5;4;4;3;3;4;4;3;4;4;2;2;3;1;1;2;5;5;3;3;4;2;4;2;2;4;2;2;2;2;2;1;2;3;4;4;1;1;2;4;5;4;5;1;4;4;4;4;3;3;2;2;5;5;3;5;4;3;4;3;3;5;4;4;5;4;5;3;3;4;5;5;5;5;5;1;2;2;2;5;4;4;4;3;3;2;2;3;5;5;4;4;3;2;4;2;2;4;2;2;2;5;3;1;1;3;3;5;2;2;2;3;4;4;2;1;2;2;3;5;3;1;1;4;4;5;3;4;2;4;3;2;3;2;3;3;4;5;3;1;1;3;4;5;3;3;4;4;4;2;4;4;1;1;3;5;3;1;1;5;3;5;3;3;1;5;1;4;3;2;3;3;2;4;3;1;2;4;4;5;3;3;2;3;4;3;2;3;1;1;4;5;4;1;1;5;5;5;3;3;3;4;2;2;4;4;3;3;3;5;4;1;1;4;5;5;2;2;3;4;3;3;2;2;2;3;1;5;2;1;1;2;4;5;2;2;2;3;3;3;3;3;;;;;3;5;139;65;48;38;61;44;81;45;35;50;71;47;64;72;36;69;36;58;63;43;;;;;;;;;;;;;;;1173;;2019-07-12 14:46:59;1;0;22;22;0;0;1,12;11
934;;;"wi01";"interview";2019-07-12 14:29:39;2;29;1;1;2;7;;2;5;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;"K9E9XH4MVB";;40;37;163;69;10;3;7;9;6;;;3;;18;5;;22;;9;;;;;;;;;;;;;;;;;;401;;2019-07-12 14:36:20;1;0;19;19;0;0;1,01;10
937;;;"wi01";"interview";2019-07-12 14:32:07;2;29;1;1;2;8;;2;6;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;"3FDC1GTMB9";279;190;170;148;16;4;12;25;31;;;8;;130;18;;51;;9;;;;;;;;;;;;;;;;;;424;;2019-07-12 14:50:18;1;0;19;19;0;0;0,5;4
939;"K9E9XH4MVB";;"A2";"interview";2019-07-12 14:36:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;4;4;5;5;5;4;5;5;3;5;5;5;5;5;5;1;4;5;5;4;4;4;3;4;5;5;4;4;5;3;4;5;3;5;5;4;4;5;5;5;4;5;5;5;4;4;4;4;5;1;5;5;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;4;5;3;1;3;5;5;5;5;5;2;5;2;5;5;2;1;2;2;2;3;4;4;2;2;2;2;1;4;5;5;2;2;5;5;5;4;4;3;3;4;5;5;5;5;4;3;5;2;4;5;3;3;3;4;2;3;2;4;4;4;3;4;3;4;2;4;4;3;3;3;4;5;3;3;2;4;4;4;4;4;3;4;3;4;4;3;4;4;4;4;4;3;2;4;4;4;4;4;3;3;3;2;4;4;4;4;4;3;4;2;4;4;4;4;4;4;2;3;3;2;4;4;3;3;4;3;3;3;4;4;4;4;4;4;3;4;3;3;4;3;5;5;4;4;2;3;2;4;4;4;3;3;3;5;5;4;3;3;5;5;5;4;4;3;1;4;4;4;4;4;5;2;3;2;4;4;5;5;4;4;4;3;3;4;4;4;4;4;3;3;3;2;2;4;2;2;3;5;2;3;2;4;3;5;3;3;3;4;3;4;4;3;4;4;3;5;4;3;2;4;4;5;4;4;3;3;3;3;4;3;4;4;4;5;3;3;2;4;4;4;3;3;3;4;3;3;3;3;3;3;3;5;3;2;1;4;4;4;4;4;3;3;3;3;3;3;5;5;3;5;3;3;1;4;4;4;4;4;3;3;5;4;3;3;5;5;5;4;2;3;2;2;4;4;3;3;3;4;5;4;3;3;4;4;3;5;3;3;1;4;3;4;4;4;3;3;4;5;3;3;3;3;2;5;4;2;1;4;3;4;4;4;3;3;3;4;4;3;;;;;3;13;437;149;72;57;56;52;46;71;52;50;71;51;54;54;34;49;48;89;189;51;;;;;;;;;;;;;;;1748;;2019-07-12 15:05:59;1;0;22;22;0;0;0,85;1
943;;;"wi01";"interview";2019-07-12 14:45:34;1;31;1;1;5;8;;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;"XKG3CGKQFK";;67;144;207;84;7;3;6;17;5;;;12;;7;4;;20;;14;;;;;;;;;;;;;;;;;;479;;2019-07-12 14:55:31;1;0;19;19;0;0;0,88;8
944;"DA1A1CDBFR";;"Altern01";"interview";2019-07-12 14:47:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;2;1;3;1;1;1;2;1;2;2;2;1;1;2;4;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;2;1;2;2;1;2;1;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;9;723;14;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;868;;2019-07-12 15:01:53;1;0;5;5;0;0;1,11;6
945;"3FDC1GTMB9";;"A2";"interview";2019-07-12 14:51:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;3;2;4;4;2;3;3;3;3;1;3;2;2;2;4;2;1;3;2;3;2;2;3;1;3;3;3;4;2;4;4;4;2;4;4;2;4;4;4;4;3;2;3;4;2;2;5;4;4;5;2;3;4;3;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;3;5;2;3;5;4;3;4;4;4;2;1;1;4;5;4;1;2;1;3;3;2;4;5;3;3;3;1;2;5;3;2;1;4;4;5;5;5;3;3;4;4;4;5;5;4;3;3;1;4;5;2;3;2;4;2;4;1;4;3;4;2;3;4;2;4;4;3;2;5;5;4;4;4;2;3;4;4;4;3;4;2;3;4;2;4;4;4;4;5;4;4;2;1;4;4;4;3;4;4;2;2;4;5;4;5;4;4;4;4;1;1;5;5;5;4;4;2;1;4;2;1;5;4;4;5;3;4;4;5;4;5;5;4;4;2;4;4;2;4;4;2;2;5;4;3;4;2;4;5;5;4;2;5;5;5;5;5;2;5;5;5;2;4;4;3;4;4;4;4;4;4;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;5;4;2;5;5;4;2;1;1;4;1;1;3;3;1;1;1;2;4;1;2;4;2;5;4;2;1;4;3;3;5;4;4;1;1;2;4;4;3;2;4;5;5;2;2;4;4;4;4;3;2;4;3;2;2;4;3;4;2;4;4;4;4;2;4;4;4;4;2;4;4;4;2;3;2;2;4;3;4;4;4;2;4;4;3;3;4;2;3;2;4;4;4;3;3;3;5;2;3;4;4;2;4;4;2;2;3;4;4;4;2;3;2;4;2;4;3;5;5;4;2;2;2;4;5;4;2;1;2;1;1;1;1;5;5;4;2;4;1;1;5;5;1;5;5;1;;;;;30;6035;274;131;92;55;54;45;57;62;60;57;63;75;77;51;49;48;63;142;159;62;;;;;;;;;;;;;;;1690;;2019-07-12 17:00:02;1;0;22;22;0;0;0,71;0
961;"XKG3CGKQFK";;"A2";"interview";2019-07-12 15:16:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;2;3;4;4;4;3;3;2;2;2;4;3;3;4;2;1;4;4;4;5;4;2;2;4;5;4;2;3;2;2;4;3;5;5;4;2;3;3;5;4;5;4;5;3;4;5;4;3;4;5;2;2;3;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;4;3;2;3;3;4;4;4;5;2;4;2;5;5;5;5;5;1;5;4;2;4;5;2;2;4;2;3;5;4;4;4;5;5;5;5;5;3;3;3;4;5;4;4;5;2;4;1;4;4;1;2;1;5;3;1;1;2;3;4;2;3;3;2;3;3;3;2;1;2;2;4;2;2;1;4;3;4;2;2;2;5;4;4;4;2;2;4;1;3;2;1;1;4;3;5;2;2;3;5;3;5;4;1;2;2;1;4;2;1;2;4;3;4;2;3;3;5;3;4;4;2;3;3;2;4;2;1;1;2;3;4;4;4;3;5;3;5;5;1;4;4;4;4;4;4;4;4;4;4;5;4;3;3;3;3;4;4;5;5;5;4;5;4;2;4;4;4;5;5;4;2;4;1;4;5;4;4;4;4;4;4;5;4;4;4;5;5;4;3;2;4;2;5;2;2;2;5;2;1;2;4;2;5;2;3;3;4;3;4;3;1;4;4;4;4;4;5;4;4;4;5;5;4;4;4;4;3;5;4;3;3;2;5;2;2;2;3;3;4;1;3;3;5;3;3;4;1;4;4;4;4;4;4;4;3;4;2;4;4;4;4;2;3;4;4;5;5;4;4;4;3;3;3;4;5;5;4;4;4;4;2;3;4;4;4;3;2;4;4;4;3;4;4;4;4;4;5;4;1;5;4;4;4;2;5;3;3;1;3;4;5;4;4;3;1;3;3;2;3;3;2;2;4;2;2;4;3;3;5;3;3;2;4;3;4;4;2;;;;;2;15;255;122;76;48;46;54;46;54;70;53;53;50;50;46;36;50;59;56;62;46;;;;;;;;;;;;;;;1349;;2019-07-12 15:38:41;1;0;22;22;0;0;1;6
962;;;"wi01";"interview";2019-07-12 15:16:44;2;31;1;1;2;8;;2;4;1;1;1;1;2;1;1;1;2;2;1;1;1;2;1;1;1;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;"4NUK4UXY5P";;32;191;212;63;6;3;13;10;5;;;7;;7;13;;162;;18;;;;;;;;;;;;;;;;;;435;;2019-07-12 15:29:06;1;0;19;19;0;0;0,77;4
